🚀 Training with 1 GPUs (DDP)
Per-GPU batch size: 4
Gradient accumulation steps: 64
Total effective batch size: 256
Device: cuda:0
Loading training dataset from wikipedia-50/train
Final Vocab Size: 181
Phoneme vocab size: 181
Pruned BPE vocab size: 24734
Training dataset size: 599058
Step 11100/1000000 | Loss: 6.0404 | LR: 1.73e-09 | MLM: 2.8671 | CTC: 3.1733
Step 11200/1000000 | Loss: 6.1368 | LR: 1.75e-09 | MLM: 2.7011 | CTC: 3.4356
Step 11300/1000000 | Loss: 6.0896 | LR: 1.76e-09 | MLM: 2.9024 | CTC: 3.1872
Step 11400/1000000 | Loss: 6.3797 | LR: 1.78e-09 | MLM: 2.7600 | CTC: 3.6197
Step 11500/1000000 | Loss: 7.0693 | LR: 1.79e-09 | MLM: 3.2661 | CTC: 3.8031
Step 11600/1000000 | Loss: 6.6405 | LR: 1.81e-09 | MLM: 2.9225 | CTC: 3.7180
Step 11700/1000000 | Loss: 6.3490 | LR: 1.82e-09 | MLM: 2.7708 | CTC: 3.5781
Step 11800/1000000 | Loss: 6.2882 | LR: 1.84e-09 | MLM: 3.0530 | CTC: 3.2352
Step 11900/1000000 | Loss: 6.2847 | LR: 1.85e-09 | MLM: 2.9829 | CTC: 3.3019
Step 12000/1000000 | Loss: 6.0700 | LR: 1.87e-09 | MLM: 3.0638 | CTC: 3.0062
Step 12100/1000000 | Loss: 6.4875 | LR: 1.89e-09 | MLM: 3.2285 | CTC: 3.2590
Step 12200/1000000 | Loss: 5.6232 | LR: 1.90e-09 | MLM: 2.7556 | CTC: 2.8676
Step 12300/1000000 | Loss: 6.0927 | LR: 1.92e-09 | MLM: 2.8215 | CTC: 3.2712
Step 12400/1000000 | Loss: 5.8990 | LR: 1.93e-09 | MLM: 3.0759 | CTC: 2.8231
Step 12500/1000000 | Loss: 6.1653 | LR: 1.95e-09 | MLM: 3.0718 | CTC: 3.0934
Step 12600/1000000 | Loss: 5.7495 | LR: 1.96e-09 | MLM: 2.9244 | CTC: 2.8250
Step 12700/1000000 | Loss: 5.6734 | LR: 1.98e-09 | MLM: 2.9242 | CTC: 2.7492
Step 12800/1000000 | Loss: 6.2553 | LR: 2.00e-09 | MLM: 2.8738 | CTC: 3.3815
Step 12900/1000000 | Loss: 6.3996 | LR: 2.01e-09 | MLM: 2.9263 | CTC: 3.4734
Step 13000/1000000 | Loss: 6.2434 | LR: 2.03e-09 | MLM: 2.9521 | CTC: 3.2914
Step 13100/1000000 | Loss: 5.9446 | LR: 2.04e-09 | MLM: 3.0165 | CTC: 2.9281
Step 13200/1000000 | Loss: 5.9278 | LR: 2.06e-09 | MLM: 2.6952 | CTC: 3.2326
Step 13300/1000000 | Loss: 5.8581 | LR: 2.07e-09 | MLM: 2.8487 | CTC: 3.0094
Step 13400/1000000 | Loss: 6.4203 | LR: 2.09e-09 | MLM: 2.8815 | CTC: 3.5388
Step 13500/1000000 | Loss: 5.3455 | LR: 2.10e-09 | MLM: 2.9951 | CTC: 2.3504
Step 13600/1000000 | Loss: 6.6868 | LR: 2.12e-09 | MLM: 3.0959 | CTC: 3.5910
Step 13700/1000000 | Loss: 5.9523 | LR: 2.14e-09 | MLM: 2.7238 | CTC: 3.2285
Step 13800/1000000 | Loss: 5.0182 | LR: 2.15e-09 | MLM: 2.9712 | CTC: 2.0470
Step 13900/1000000 | Loss: 6.2486 | LR: 2.17e-09 | MLM: 3.0098 | CTC: 3.2388
Step 14000/1000000 | Loss: 5.8063 | LR: 2.18e-09 | MLM: 2.8631 | CTC: 2.9432
Step 14100/1000000 | Loss: 6.4862 | LR: 2.20e-09 | MLM: 3.0889 | CTC: 3.3974
Step 14200/1000000 | Loss: 5.9113 | LR: 2.21e-09 | MLM: 2.7797 | CTC: 3.1316
Step 14300/1000000 | Loss: 6.1380 | LR: 2.23e-09 | MLM: 2.9979 | CTC: 3.1401
Step 14400/1000000 | Loss: 6.3050 | LR: 2.25e-09 | MLM: 3.0217 | CTC: 3.2833
Step 14500/1000000 | Loss: 5.7092 | LR: 2.26e-09 | MLM: 2.5265 | CTC: 3.1827
Step 14600/1000000 | Loss: 6.5160 | LR: 2.28e-09 | MLM: 2.9985 | CTC: 3.5175
Step 14700/1000000 | Loss: 6.3970 | LR: 2.29e-09 | MLM: 3.0221 | CTC: 3.3749
Step 14800/1000000 | Loss: 5.4490 | LR: 2.31e-09 | MLM: 2.9982 | CTC: 2.4508
Step 14900/1000000 | Loss: 5.5456 | LR: 2.32e-09 | MLM: 3.1108 | CTC: 2.4347
Step 15000/1000000 | Loss: 6.3453 | LR: 2.34e-09 | MLM: 3.1029 | CTC: 3.2424
✓ Saved checkpoint to checkpoint_step_15000.t7
Step 15100/1000000 | Loss: 5.5325 | LR: 2.35e-09 | MLM: 2.4745 | CTC: 3.0580
Step 15200/1000000 | Loss: 5.4076 | LR: 2.37e-09 | MLM: 2.6319 | CTC: 2.7757
Step 15300/1000000 | Loss: 5.8192 | LR: 2.39e-09 | MLM: 2.7844 | CTC: 3.0348
Step 15400/1000000 | Loss: 6.3472 | LR: 2.40e-09 | MLM: 3.1039 | CTC: 3.2433
Step 15500/1000000 | Loss: 5.1943 | LR: 2.42e-09 | MLM: 2.5866 | CTC: 2.6077
Step 15600/1000000 | Loss: 6.1574 | LR: 2.43e-09 | MLM: 3.0266 | CTC: 3.1308
Step 15700/1000000 | Loss: 6.2086 | LR: 2.45e-09 | MLM: 3.0381 | CTC: 3.1705
Step 15800/1000000 | Loss: 5.1582 | LR: 2.46e-09 | MLM: 2.7198 | CTC: 2.4384
Step 15900/1000000 | Loss: 6.0175 | LR: 2.48e-09 | MLM: 2.7976 | CTC: 3.2198
Step 16000/1000000 | Loss: 5.2424 | LR: 2.50e-09 | MLM: 2.6430 | CTC: 2.5994
Step 16100/1000000 | Loss: 5.7693 | LR: 2.51e-09 | MLM: 2.8140 | CTC: 2.9553
Step 16200/1000000 | Loss: 5.4024 | LR: 2.53e-09 | MLM: 2.4975 | CTC: 2.9049
Step 16300/1000000 | Loss: 6.9268 | LR: 2.54e-09 | MLM: 3.0243 | CTC: 3.9024
Step 16400/1000000 | Loss: 5.4360 | LR: 2.56e-09 | MLM: 2.6403 | CTC: 2.7957
Step 16500/1000000 | Loss: 5.8545 | LR: 2.57e-09 | MLM: 2.5582 | CTC: 3.2963
Step 16600/1000000 | Loss: 5.9031 | LR: 2.59e-09 | MLM: 2.9989 | CTC: 2.9042
Step 16700/1000000 | Loss: 6.0532 | LR: 2.60e-09 | MLM: 2.8210 | CTC: 3.2322
Step 16800/1000000 | Loss: 5.2057 | LR: 2.62e-09 | MLM: 2.7680 | CTC: 2.4376
Step 16900/1000000 | Loss: 5.4566 | LR: 2.64e-09 | MLM: 2.4608 | CTC: 2.9958
Step 17000/1000000 | Loss: 5.1504 | LR: 2.65e-09 | MLM: 2.7683 | CTC: 2.3821
Step 17100/1000000 | Loss: 5.3552 | LR: 2.67e-09 | MLM: 2.6939 | CTC: 2.6613
Step 17200/1000000 | Loss: 4.8568 | LR: 2.68e-09 | MLM: 2.6042 | CTC: 2.2526
Step 17300/1000000 | Loss: 5.4454 | LR: 2.70e-09 | MLM: 2.7645 | CTC: 2.6809
Step 17400/1000000 | Loss: 5.8438 | LR: 2.71e-09 | MLM: 2.7495 | CTC: 3.0943
Step 17500/1000000 | Loss: 5.0973 | LR: 2.73e-09 | MLM: 2.4346 | CTC: 2.6627
Step 17600/1000000 | Loss: 4.6895 | LR: 2.75e-09 | MLM: 2.4334 | CTC: 2.2561
Step 17700/1000000 | Loss: 4.9524 | LR: 2.76e-09 | MLM: 2.8419 | CTC: 2.1106
Step 17800/1000000 | Loss: 5.7409 | LR: 2.78e-09 | MLM: 2.5455 | CTC: 3.1954
Step 17900/1000000 | Loss: 5.6743 | LR: 2.79e-09 | MLM: 2.4992 | CTC: 3.1752
Step 18000/1000000 | Loss: 5.5207 | LR: 2.81e-09 | MLM: 2.9080 | CTC: 2.6127
Step 18100/1000000 | Loss: 5.2872 | LR: 2.82e-09 | MLM: 2.3267 | CTC: 2.9605
Step 18200/1000000 | Loss: 6.1928 | LR: 2.84e-09 | MLM: 2.9338 | CTC: 3.2590
Step 18300/1000000 | Loss: 5.4360 | LR: 2.85e-09 | MLM: 2.6357 | CTC: 2.8003
Step 18400/1000000 | Loss: 4.5823 | LR: 2.87e-09 | MLM: 2.7632 | CTC: 1.8191
Step 18500/1000000 | Loss: 5.1749 | LR: 2.89e-09 | MLM: 2.5940 | CTC: 2.5809
Step 18600/1000000 | Loss: 5.7772 | LR: 2.90e-09 | MLM: 2.5326 | CTC: 3.2446
Step 18700/1000000 | Loss: 4.0747 | LR: 2.92e-09 | MLM: 2.2794 | CTC: 1.7953
Step 18800/1000000 | Loss: 4.7611 | LR: 2.93e-09 | MLM: 2.4262 | CTC: 2.3349
Step 18900/1000000 | Loss: 6.0009 | LR: 2.95e-09 | MLM: 2.6498 | CTC: 3.3511
Step 19000/1000000 | Loss: 5.8197 | LR: 2.96e-09 | MLM: 2.6709 | CTC: 3.1488
Step 19100/1000000 | Loss: 5.5986 | LR: 2.98e-09 | MLM: 2.7748 | CTC: 2.8238
Step 19200/1000000 | Loss: 5.4564 | LR: 3.00e-09 | MLM: 2.7994 | CTC: 2.6570
Step 19300/1000000 | Loss: 5.2008 | LR: 3.01e-09 | MLM: 2.4345 | CTC: 2.7663
Step 19400/1000000 | Loss: 5.8041 | LR: 3.03e-09 | MLM: 2.5453 | CTC: 3.2588
Step 19500/1000000 | Loss: 5.7188 | LR: 3.04e-09 | MLM: 2.8009 | CTC: 2.9180
Step 19600/1000000 | Loss: 6.1672 | LR: 3.06e-09 | MLM: 2.8888 | CTC: 3.2784
Step 19700/1000000 | Loss: 5.1717 | LR: 3.07e-09 | MLM: 2.6498 | CTC: 2.5219
Step 19800/1000000 | Loss: 5.6949 | LR: 3.09e-09 | MLM: 2.5563 | CTC: 3.1386
Step 19900/1000000 | Loss: 5.2565 | LR: 3.10e-09 | MLM: 2.8500 | CTC: 2.4065
Step 20000/1000000 | Loss: 5.4709 | LR: 3.12e-09 | MLM: 2.8382 | CTC: 2.6327
✓ Saved checkpoint to checkpoint_step_20000.t7
Step 20100/1000000 | Loss: 5.2982 | LR: 3.14e-09 | MLM: 2.7538 | CTC: 2.5444
Step 20200/1000000 | Loss: 4.7507 | LR: 3.15e-09 | MLM: 2.2404 | CTC: 2.5103
Step 20300/1000000 | Loss: 5.8300 | LR: 3.17e-09 | MLM: 2.7346 | CTC: 3.0954
Step 20400/1000000 | Loss: 5.0315 | LR: 3.18e-09 | MLM: 2.5922 | CTC: 2.4393
Step 20500/1000000 | Loss: 5.3632 | LR: 3.20e-09 | MLM: 2.8659 | CTC: 2.4973
Step 20600/1000000 | Loss: 4.9841 | LR: 3.21e-09 | MLM: 2.6415 | CTC: 2.3426
Step 20700/1000000 | Loss: 5.2942 | LR: 3.23e-09 | MLM: 2.4346 | CTC: 2.8597
Step 20800/1000000 | Loss: 4.3499 | LR: 3.25e-09 | MLM: 2.3050 | CTC: 2.0450
Step 20900/1000000 | Loss: 5.3103 | LR: 3.26e-09 | MLM: 2.6372 | CTC: 2.6731
Step 21000/1000000 | Loss: 4.8043 | LR: 3.28e-09 | MLM: 2.4470 | CTC: 2.3573
Step 21100/1000000 | Loss: 5.0267 | LR: 3.29e-09 | MLM: 2.8437 | CTC: 2.1830
Step 21200/1000000 | Loss: 4.4634 | LR: 3.31e-09 | MLM: 2.4588 | CTC: 2.0046
Step 21300/1000000 | Loss: 4.6883 | LR: 3.32e-09 | MLM: 2.5715 | CTC: 2.1167
Step 21400/1000000 | Loss: 5.3004 | LR: 3.34e-09 | MLM: 2.8710 | CTC: 2.4294
Step 21500/1000000 | Loss: 5.0655 | LR: 3.35e-09 | MLM: 2.5095 | CTC: 2.5560
Step 21600/1000000 | Loss: 5.0696 | LR: 3.37e-09 | MLM: 2.5391 | CTC: 2.5305
Step 21700/1000000 | Loss: 4.0514 | LR: 3.39e-09 | MLM: 2.3117 | CTC: 1.7397
Step 21800/1000000 | Loss: 5.5151 | LR: 3.40e-09 | MLM: 2.7864 | CTC: 2.7287
Step 21900/1000000 | Loss: 4.5003 | LR: 3.42e-09 | MLM: 2.5410 | CTC: 1.9593
Step 22000/1000000 | Loss: 5.3044 | LR: 3.43e-09 | MLM: 2.6723 | CTC: 2.6321
Step 22100/1000000 | Loss: 5.3468 | LR: 3.45e-09 | MLM: 2.7426 | CTC: 2.6042
Step 22200/1000000 | Loss: 4.5311 | LR: 3.46e-09 | MLM: 2.4967 | CTC: 2.0344
Step 22300/1000000 | Loss: 4.6095 | LR: 3.48e-09 | MLM: 2.4938 | CTC: 2.1157
Step 22400/1000000 | Loss: 3.9786 | LR: 3.50e-09 | MLM: 2.3547 | CTC: 1.6239
Step 22500/1000000 | Loss: 3.9292 | LR: 3.51e-09 | MLM: 2.4140 | CTC: 1.5152
Step 22600/1000000 | Loss: 5.1689 | LR: 3.53e-09 | MLM: 2.6660 | CTC: 2.5029
Step 22700/1000000 | Loss: 4.7742 | LR: 3.54e-09 | MLM: 2.4509 | CTC: 2.3232
Step 22800/1000000 | Loss: 4.7680 | LR: 3.56e-09 | MLM: 2.6128 | CTC: 2.1553
Step 22900/1000000 | Loss: 5.0092 | LR: 3.57e-09 | MLM: 2.6906 | CTC: 2.3186
Step 23000/1000000 | Loss: 5.1651 | LR: 3.59e-09 | MLM: 2.6710 | CTC: 2.4941
Step 23100/1000000 | Loss: 4.4452 | LR: 3.60e-09 | MLM: 2.1317 | CTC: 2.3134
Step 23200/1000000 | Loss: 4.6274 | LR: 3.62e-09 | MLM: 2.4135 | CTC: 2.2138
Step 23300/1000000 | Loss: 4.1470 | LR: 3.64e-09 | MLM: 2.2233 | CTC: 1.9237
Step 23400/1000000 | Loss: 3.5028 | LR: 3.65e-09 | MLM: 2.1455 | CTC: 1.3573
Step 23500/1000000 | Loss: 4.3479 | LR: 3.67e-09 | MLM: 2.2636 | CTC: 2.0844
Step 23600/1000000 | Loss: 3.6467 | LR: 3.68e-09 | MLM: 1.8034 | CTC: 1.8432
Step 23700/1000000 | Loss: 4.1752 | LR: 3.70e-09 | MLM: 2.2708 | CTC: 1.9045
Step 23800/1000000 | Loss: 4.6743 | LR: 3.71e-09 | MLM: 2.4952 | CTC: 2.1791
Step 23900/1000000 | Loss: 3.6208 | LR: 3.73e-09 | MLM: 2.2150 | CTC: 1.4058
Step 24000/1000000 | Loss: 4.0754 | LR: 3.75e-09 | MLM: 2.2692 | CTC: 1.8062
Step 24100/1000000 | Loss: 3.9733 | LR: 3.76e-09 | MLM: 2.4971 | CTC: 1.4763
Step 24200/1000000 | Loss: 3.5974 | LR: 3.78e-09 | MLM: 2.3427 | CTC: 1.2547
